title,genre,author,time,total_chars,total_function_words,total_function_words_frequency,fraction_function_words_at_end,也_count,哉_count,乎_count,兮_count,夫_count,焉_count,耶_count,者_count,矣_count,耳_count,邪_count,也_frequency,哉_frequency,乎_frequency,兮_frequency,夫_frequency,焉_frequency,耶_frequency,者_frequency,矣_frequency,耳_frequency,邪_frequency,也_fraction_at_end,哉_fraction_at_end,乎_fraction_at_end,兮_fraction_at_end,夫_fraction_at_end,焉_fraction_at_end,耶_fraction_at_end,者_fraction_at_end,矣_fraction_at_end,耳_fraction_at_end,邪_fraction_at_end
尚书,史书,不详,先秦,32539.0,175.0,0.0035649528258397617,0.6628571428571428,0.0,116.0,6.0,0.0,27.0,4.0,0.0,7.0,7.0,6.0,2.0,0.0,0.002981038138848766,3.0732351946894496e-05,0.0,0.00015366175973447247,0.00012292940778757799,0.0,3.0732351946894496e-05,0.00021512646362826146,3.0732351946894496e-05,0.0,0.0,0.8362068965517241,0.16666666666666666,0.0,0.18518518518518517,1.0,0.0,0.14285714285714285,1.0,0.16666666666666666,0.0
左传,史书,左丘明,春秋,255263.0,7719.0,0.024233829422987272,0.8013991449669646,3596.0,108.0,740.0,4.0,874.0,891.0,1.0,619.0,829.0,46.0,11.0,0.013347018565166123,0.00040350540423014693,0.0025424757994695667,1.1752584589227581e-05,0.0005954642858541974,0.0029028883935392127,3.9175281964091935e-06,0.0011478357615478938,0.0031927854800734927,6.26804511425471e-05,2.3505169178455163e-05,0.9474416017797553,0.9537037037037037,0.8770270270270271,0.75,0.17391304347826086,0.8316498316498316,1.0,0.47334410339256866,0.9831121833534379,0.34782608695652173,0.5454545454545454
战国策,史书,刘向,汉,152234.0,6242.0,0.029513774846617706,0.7198013457225249,2806.0,90.0,384.0,6.0,424.0,115.0,23.0,1435.0,886.0,54.0,19.0,0.017065832862566837,0.0001839273749622292,0.0008211043525099518,2.6275339280318458e-05,0.0001379455312216719,0.0005649197945268469,0.00012480786158151268,0.0047755429141978795,0.005530958918507035,0.0002299092187027865,5.2550678560636916e-05,0.9258731290092659,0.3111111111111111,0.3255208333333333,0.6666666666666666,0.049528301886792456,0.7478260869565218,0.8260869565217391,0.5066202090592334,0.9503386004514672,0.6481481481481481,0.42105263157894735
史记,史书,司马迁,汉,624132.0,14620.0,0.015762691225574076,0.6729138166894665,4517.0,421.0,923.0,256.0,1639.0,521.0,3.0,4277.0,1283.0,527.0,253.0,0.006974486166387879,0.0005784032864842694,0.0011792377253529703,0.0003108316830414079,0.00036370511366185356,0.0007338191280049733,3.2044503406330714e-06,0.002922458710657361,0.0019995770125550366,0.00046464529939179534,0.00023232264969589767,0.9636927164046933,0.8574821852731591,0.7973997833152763,0.7578125,0.13849908480780965,0.8790786948176583,0.6666666666666666,0.4264671498714052,0.9727201870615745,0.5502846299810247,0.5731225296442688
汉书,史书,班固,汉,898415.0,17622.0,0.012793642136429155,0.6522528657360118,5493.0,352.0,774.0,496.0,2186.0,755.0,8.0,5446.0,1120.0,443.0,549.0,0.006016150665338401,0.0003561828331005159,0.0005743448183745819,0.0004285324710740582,0.0005275958215301392,0.0007657930911661092,8.904570827512898e-06,0.0023853119104200174,0.0012165869893089496,0.00029607698001480384,0.000218161985274066,0.9839796104132532,0.9090909090909091,0.6666666666666666,0.7762096774193549,0.21683440073193047,0.9112582781456954,1.0,0.3934998163789938,0.9758928571428571,0.600451467268623,0.3570127504553734
后汉书,史书,范晔,南北朝,842267.0,12321.0,0.009407943086930865,0.6431296161025891,3156.0,308.0,793.0,497.0,1193.0,793.0,7.0,4216.0,652.0,293.0,413.0,0.003643737674632866,0.00033006160754250137,0.0006375650476630332,0.00045828698025685444,0.00023033076209800455,0.0007408577090162621,8.310903787041402e-06,0.002128778641452176,0.0007289849893204886,0.0002588252893678608,0.000242203481793778,0.9724334600760456,0.9025974025974026,0.6771752837326608,0.7766599597585513,0.16261525565800503,0.7868852459016393,1.0,0.4252846299810247,0.941717791411043,0.7440273037542662,0.4939467312348668
三国志,史书,陈寿,晋,440039.0,6762.0,0.011017205293167196,0.7169476486246673,2581.0,183.0,319.0,2.0,609.0,288.0,7.0,1823.0,438.0,305.0,207.0,0.005772215644522417,0.0003931469710639284,0.000595401771206643,4.545051688600329e-06,0.00017952954169971297,0.0005181358925004375,1.590768091010115e-05,0.0015975856685430155,0.0009612784321389696,0.0006249446071825452,0.00035451403171082564,0.9841146842309183,0.9453551912568307,0.8213166144200627,1.0,0.1297208538587849,0.7916666666666666,1.0,0.3856280855732309,0.9657534246575342,0.9016393442622951,0.7536231884057971
晋书,史书,房玄龄等,唐,1415124.0,20524.0,0.010341143249637488,0.7130189046969402,7572.0,500.0,1255.0,203.0,1467.0,1058.0,20.0,5455.0,1418.0,770.0,806.0,0.005262436366000435,0.0003165800311492138,0.0006225602844697708,0.00012295742281241784,0.00015122349702216908,0.0006642527439291539,1.3426385249631834e-05,0.001466302599630845,0.0009758862120916612,0.00047557669857906446,0.00026994100870312426,0.9834918119387216,0.896,0.7019920318725099,0.8571428571428571,0.14587593728698023,0.888468809073724,0.95,0.38038496791934007,0.9739069111424542,0.874025974025974,0.4739454094292804
魏书,史书,魏收,南北朝,1209461.0,11211.0,0.006458248757090969,0.6967264293996968,3260.0,211.0,379.0,216.0,1292.0,882.0,0.0,3729.0,787.0,290.0,165.0,0.0026168681751623244,0.00014717299689696485,0.0002546588935071077,0.0001513070698435088,0.00042746314267264507,0.0006465690088394748,0.0,0.0013410932638588595,0.0006358204191784604,0.00019678187225549232,4.0513914876130775e-05,0.9708588957055214,0.8436018957345972,0.8126649076517151,0.8472222222222222,0.4001547987616099,0.8866213151927438,0.0,0.43496916063287744,0.97712833545108,0.8206896551724138,0.296969696969697
北齐书,史书,李百药,唐,288187.0,2180.0,0.005007165486298827,0.6619266055045872,787.0,24.0,68.0,1.0,212.0,198.0,29.0,636.0,100.0,58.0,67.0,0.00232487933182274,6.939938303948478e-05,0.0001873783342066089,0.0,0.00036087679180532085,0.00063847432396326,9.368916710330445e-05,0.000784213028346178,0.0003296470694375527,0.00017349845759871195,4.5109598975665106e-05,0.8513341804320204,0.8333333333333334,0.7941176470588235,0.0,0.49056603773584906,0.9292929292929293,0.9310344827586207,0.3553459119496855,0.95,0.8620689655172413,0.19402985074626866
